Mã tủ,Vĩ độ,Kinh độ,Địa chỉ
8.0,16.47202,107.566885,Hoàng Diệu-Trần Quốc Toản
8.0,16.47102,107.5656,17a Hoàng Diệu
8.0,16.472883,107.565,Nguyễn Quang Bích-Hoà Mỹ
8.0,16.474617,107.564205,Ngã 4 Lê Ngã - Thanh Lam Bồ
8.0,16.47542,107.5689,Đối Diện 94 Lê Đại Hành
8.0,16.47618,107.5703,93 Lê Đại Hành
8.0,16.474704,107.571109,Đầu Kiệt 1 La Sơn Phu Tử
8.0,16.476996,107.567696,La Sơn Phu Tử-Trần Nhân Tông
8.0,16.47696,107.5647,Đối Diện 59 Thái Phiên
8.0,16.474683,107.5617,Thái Phiên-Tôn Thất Thiệp
8.0,16.47958,107.5655,21 Thánh Gióng
8.0,16.479872,107.562881,K333/2 Nguyễn Trãi
8.0,16.48087,107.5699,Đối Diện 139 Thái Phiên
8.0,16.47905,107.5678,Thái Phiên-Lê Hữu Trác
8.0,16.48179,107.5716,Thái Phiên-Nguyễn Xuân Ôn
8.0,16.48253,107.5699,Thánh Gióng-Phạm Đình Hổ
8.0,16.46969,107.5696,52 Thạch Hãn
8.0,16.4683,107.5676,Thạch Hãn-Nguyễn Cư Trinh
8.0,16.46784,107.5701,Yết Kiêu-Trần Nguyên Đán
8.0,16.46682,107.5688,Yết Kiêu-Nguyễn Cư Trinh
8.0,16.47136,107.5729,3/130 Đặng Thái Thân (Cuối Đường Tuệ Tĩnh)
8.0,16.472756,107.571063,74 Triệu Quang Phục
8.0,16.47242,107.5746,58 Tuệ Tĩnh
8.0,16.47403,107.5742,34 Phùng Hưng
8.0,16.480926,107.598193,Đối diện K24 Nguyễn Khoa Vy
8.0,16.481005,107.597417,SN 15B - K162 Nguyễn Sinh Cung
8.0,16.480037,107.598431,Đối diện SN 1/6 Nguyễn Khoa Vy
8.0,16.483286,107.598505,Ngã tư Tùng Thiện Vương - Nguyễn Khoa Vy
8.0,16.483541,107.597262,Ngã tư Tùng Thiện Vương - Thanh Tịnh
8.0,16.48194,107.598406,Ngã tư Nguyễn Khoa Vy - Tuy Lý Vương
8.0,16.457252,107.595881,"SN 32 - K147 Phan Đình Phùng, TP. Huế"
8.0,16.457537,107.596672,"Villa Café, SN 33 - K173 Phan Đình Phùng, TP. Huế"
8.0,16.45704,107.594306,SN 11 Nguyễn Khuyến
8.0,16.45626,107.595967,"Đối diện SN 12 - K147 Phan Đình Phùng, TP. Huế"
8.0,16.460396,107.557394,"1 Kiệt 36 Nguyễn Hoàng, P. Kim Long, TP. Huế"
8.0,16.461374,107.556046,"59 Nguyễn Hoàng, P. Kim Long, TP. Huế"
8.0,16.460715,107.554436,"22 Kiệt 57 Nguyễn Hoàng, P. Kim Long, TP. Huế"
8.0,16.462668,107.553981,"24 An Ninh, P. Kim Long, TP. Huế"
8.0,16.46073,107.552055,"49 An Ninh, P. Kim Long, TP. Huế"
8.0,16.462836,107.559026,"10 Kiệt 69 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.461353,107.560466,"39 Kiệt 69 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.4597,107.560815,"Kiệt 104 Kim Long, P. Kim Long, TP. Huế"
8.0,16.463984,107.559172,"3 Kiệt 53 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.463673,107.562585,"5B Kiệt 35 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.46508,107.561635,"2B Kiệt 50 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.464934,107.562769,"10 Kiệt 36 Phạm Thị Liên, P. Kim Long, TP. Huế"
8.0,16.409201,107.671021,"39 Nguyễn Khoa Văn, Phú Bài, Hương Thủy, Huế"
8.0,16.410598,107.672772,"65 Nguyễn Khoa Văn, Phú Bài, Hương Thủy, Huế"
8.0,16.410183,107.668803,"Đầu Kiệt 15 Ngô Thì Sỹ, Phú Bài, Hương Thủy, Huế"
8.0,16.408437,107.670221,"Ngã Tư Nguyễn Khoa Văn - Trưng Nữ Vương, Phú Bài, Hương Thủy, Huế"
8.0,16.408641,107.674739,"Đầu kiệt 25 Đinh Lễ, Phú Bài, Hương Thủy, Huế"
8.0,16.407833,107.675482,"20/K17 Đinh Lễ, Phú Bài, Hương Thủy, Huế"
8.0,16.407719,107.67647,"Đầu K1 Đinh Lễ, Phú Bài, Hương Thủy, Huế"
8.0,16.407103,107.674229,"02/26 Trưng Nữ Vương, Phú Bài, Hương Thủy, Huế"
8.0,16.406713,107.669424,"1A Nguyễn Khoa Văn, Phú Bài, Hương Thủy, Huế"
8.0,16.406419,107.670512,"9 Kiệt 8 Nguyễn Khoa Văn, Phú Bài, Hương Thủy, Huế"
8.0,16.40589,107.67065,"30/6 Nguyễn Khoa Văn, Phú Bài, Hương Thủy, Huế"
8.0,16.406028,107.671438,"18 Kiệt 43 Trưng Nữ Vương, Phú Bài, Hương Thủy, Huế"
8.0,16.413874,107.675178,Ngaã 4 Nguyễn Khoa Văn - Sóng Hồng
8.0,16.413773,107.674412,"Đối diện 3/155 Sóng Hồng, Phú Bài, Hương Thủy, Huế"
8.0,16.414808,107.670488,"989 Nguyễn Tất Thành, Phú Bài, Hương Thủy, Huế"
8.0,16.41474,107.67139,"9/1001 Nguyễn Tất Thành, Phú Bài, Hương Thủy, Huế"
8.0,16.414724,107.672767,"Đối diện 24/1065 Nguyễn Tất Thành, Phú Bài, Hương Thủy, Huế"
8.0,16.412367,107.677001,"116 Sóng Hồng, Phú Bài, Hương Thủy, Huế"
8.0,16.411023,107.677123,"19 Nguyễn Thanh Ái, Phú Bài, Hương Thủy, Huế"
8.0,16.411177,107.679809,Đối diện 23 Nguyễn Huy Tưởng
8.0,16.411035,107.675458,"Đối diện số 2 Kiệt 1149 Nguyễn Tất Thành, Hương Thủy, Huế"
